t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-06-01,9.6,49.3,6.3,3.3,6.3,42.9
2025-06-02,12.6,25.2,8.5,4.1,8.5,16.7
2025-06-03,5.8,33.2,3.5,2.3,3.5,29.7
2025-06-04,7.1,14.0,3.7,3.4,3.7,10.3
2025-06-05,8.8,43.5,6.9,1.9,6.9,36.5
2025-06-06,5.4,44.0,3.5,1.9,3.5,40.5
2025-06-07,11.3,42.1,8.9,2.4,8.9,33.2
2025-06-08,5.9,50.6,3.6,2.3,3.6,46.9
2025-06-09,10.0,53.0,6.1,3.9,6.1,46.9
2025-06-10,8.3,44.8,4.4,3.9,4.4,40.4
2025-06-11,11.4,55.4,8.7,2.7,8.7,46.7
2025-06-12,7.5,51.4,4.0,3.5,4.0,47.4
2025-06-13,9.5,50.4,6.4,3.1,6.4,44.1
2025-06-14,5.5,44.4,2.9,2.6,2.9,41.6
2025-06-15,10.7,40.9,4.5,6.2,4.5,36.4
2025-06-16,11.9,56.1,7.8,4.1,7.8,48.2
2025-06-20,3.0,0.2,0.2,2.7,0.2,0.0
2025-06-21,13.7,50.7,9.0,4.8,9.0,41.7
2025-06-22,14.1,56.4,6.5,7.6,6.5,49.9
2025-06-23,13.4,47.7,7.3,6.1,7.3,40.4
2025-06-24,17.9,55.3,12.3,5.7,12.3,43.0
2025-06-25,15.4,51.6,7.5,7.9,7.5,44.1
2025-06-26,20.3,45.3,10.3,10.0,10.3,35.0
2025-06-27,12.6,53.1,7.0,5.6,7.0,46.1
