nohup: ignoring input
[26-01-11 20:37] T=19.6, t_set=20.0, pump_on=True Action=Nessuna
[26-01-11 20:47] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-11 20:57] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-11 21:07] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-11 21:17] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-11 21:28] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-11 21:38] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 21:48] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 21:58] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 22:08] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 22:18] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 22:28] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 22:38] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 22:48] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 22:58] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 23:08] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 23:18] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 23:28] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 23:38] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-11 23:48] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-11 23:58] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 00:08] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 00:18] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 00:28] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 00:38] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 00:48] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 00:58] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 01:08] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 01:18] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 01:28] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 01:38] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 01:48] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 01:58] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 02:08] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 02:18] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 02:28] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 02:38] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 02:48] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 02:58] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 03:08] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 03:18] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 03:28] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-12 03:38] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 03:48] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 03:58] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 04:08] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 04:18] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 04:28] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 04:38] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 04:48] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 04:58] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 05:08] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 05:18] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 05:28] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 05:38] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 05:48] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 05:58] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 06:08] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 06:18] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 06:28] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 06:38] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 06:48] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-12 06:58] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 07:08] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 07:18] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 07:28] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 07:38] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 07:48] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 07:58] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 08:09] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 08:19] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 08:29] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 08:39] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 08:49] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 08:59] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 09:09] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 09:19] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 09:29] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 09:39] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 09:49] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
